,BonusPointsBackOutStatistics.ExamDataBaseImpl.60,BonusPointsBackOutStatistics.ExamDataBaseImpl.61,ExamDB.ExamDataBaseImpl.123,ExamDB.ExamDataBaseImpl.129,ExamDB.ExamDataBaseImpl.128,ExamDB.ExamDataBaseImpl.29,ExamDB.ExamDataBaseImpl.127,ExamDB.ExamDataBaseImpl.20,ExamDB.ExamDataBaseImpl.131,ExamDB.ExamDataBaseImpl.30,ExamDB.ExamDataBaseImpl.180,BonusPointsBackOutStatistics.ExamDataBaseImpl.42,ExamDB.ExamDataBaseImpl.107,ExamDB.ExamDataBase.71,ExamDB.ExamDataBase.73,BackOut.ExamDataBaseImpl.29,BonusPointsBackOutStatistics.ExamDataBaseImpl.48,BackOut.ExamDataBaseImpl.32,BonusPointsBackOutStatistics.ExamDataBaseImpl.51,BonusPointsBackOutStatistics.ExamDataBaseImpl.52,BackOut.ExamDataBaseImpl.35,BonusPointsBackOutStatistics.ExamDataBaseImpl.53,BonusPointsBackOutStatistics.ExamDataBaseImpl.54,BonusPointsBackOutStatistics.ExamDataBaseImpl.55,BackOut.ExamDataBaseImpl.30,BonusPointsBackOutStatistics.ExamDataBaseImpl.56,BackOut.ExamDataBaseImpl.31,ExamDB.ExamDataBase.78,ExamDB.ExamDataBase.75,ExamDB.ExamDataBase.76,ExamDB.ExamDataBase.81,ExamDB.ExamDataBaseImpl.118,ExamDB.ExamDataBaseImpl.117,ExamDB.ExamDataBase.83,Results,ExamDB.ExamDataBaseImpl.116,ExamDB.ExamDataBase.80,ExamDB.ExamDataBaseImpl.59,ExamDB.ExamDataBaseImpl.8,ExamDB.ExamDataBaseImpl.58,ExamDB.ExamDataBaseImpl.57,ExamDB.ExamDataBaseImpl.5,ExamDB.ExamDataBaseImpl.70,BonusPointsBackOutStatistics.ExamDataBaseImpl.20,BonusPointsBackOutStatistics.ExamDataBaseImpl.21,BonusPointsBackOutStatistics.ExamDataBaseImpl.25,ExamDB.ExamDataBaseImpl.82,BonusPointsBackOutStatistics.ExamDataBaseImpl.34,ExamDB.ExamDataBaseImpl.176,ExamDB.ExamDataBaseImpl.175,BackOutStatistics.ExamDataBaseImpl.13,BackOutStatistics.ExamDataBaseImpl.14,ExamDB.ExamDataBaseImpl.177,BackOutStatistics.ExamDataBaseImpl.15,BackOutStatistics.ExamDataBaseImpl.18,BonusPointsBackOutStatistics.ExamDataBaseImpl.35,BonusPointsBackOutStatistics.ExamDataBaseImpl.36,BonusPointsBackOutStatistics.ExamDataBaseImpl.37,ExamDB.ExamDataBaseImpl.79,BonusPointsBackOutStatistics.ExamDataBaseImpl.38,ExamDB.ExamDataBaseImpl.78,BonusPointsBackOutStatistics.ExamDataBaseImpl.39,ExamDB.ExamDataBaseImpl.77,ExamDB.ExamDataBaseImpl.90,ExamDB.ExamDataBaseImpl.142,BackOut.ExamDataBaseImpl.6,BackOutStatistics.ExamDataBaseImpl.5,ExamDB.ExamDataBaseImpl.89,ExamDB.Student.17,ExamDB.ExamDataBaseImpl.158,ExamDB.ExamDataBaseImpl.159,BonusPointsBackOutStatistics.ExamDataBaseImpl.13,BonusPointsBackOutStatistics.ExamDataBaseImpl.16,BonusPointsBackOutStatistics.ExamDataBaseImpl.17,BonusPointsBackOutStatistics.ExamDataBaseImpl.18,BonusPointsBackOutStatistics.ExamDataBaseImpl.19
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0
3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
